trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0034_mallet_hammer_llm_only_x+0p350_y+0p000,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.35,0.0,True,llm_only_target_conditioned_v1,True,True,3,0,0.31635272393468006,0.40882370686202535,71.98580375397485,102.85215039925632,0.6542138327682845,0.24950658369421064,0.3813838399570851,37.0,0.10955061278125545,,,,geometry/replay/trials/0034_mallet_hammer_llm_only_x+0p350_y+0p000.json
0035_mallet_hammer_llm_only_x-0p350_y+0p200,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.2857710238468932,0.3849052418335557,71.98580375397485,102.85215039925632,0.6542138327682845,0.48255396166967224,0.7376089246351776,37.0,0.10955061278125545,,,,geometry/replay/trials/0035_mallet_hammer_llm_only_x-0p350_y+0p200.json
0036_mallet_hammer_llm_only_x+0p000_y+0p200,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.21360764295219256,0.2941126789347719,71.98580375397485,102.85215039925632,0.6542138327682845,0.1937674864028255,0.2961837195996066,37.0,0.10955061278125547,,,,geometry/replay/trials/0036_mallet_hammer_llm_only_x+0p000_y+0p200.json
0037_mallet_hammer_llm_only_x+0p350_y+0p200,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.3209550621896907,0.42173854505214803,71.98580375397485,102.85215039925632,0.6542138327682845,0.28929716617054074,0.4422058227451248,37.0,0.10955061278125545,,,,geometry/replay/trials/0037_mallet_hammer_llm_only_x+0p350_y+0p200.json
0038_cuboid_hammer_v014_predefined,cuboid_hammer_v014,hammer,swing_down,predefined,0,claw_hammer,,,,-0.1959162963345168,0.047830040448630005,False,,True,True,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05598837656922258,,,,geometry/replay/trials/0038_cuboid_hammer_v014_predefined.json
0039_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,-0.16,False,,True,True,23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.206335383118183e-17,,,,geometry/replay/trials/0039_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200.json
0040_cuboid_hammer_v014_llm_lie_x+0p000_y-0p200,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,-0.16,False,,True,True,16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.757822707518065e-09,,,,geometry/replay/trials/0040_cuboid_hammer_v014_llm_lie_x+0p000_y-0p200.json
0041_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,-0.16,False,,True,True,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.650927455527045e-09,,,,geometry/replay/trials/0041_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200.json
0042_cuboid_hammer_v014_llm_lie_x-0p350_y+0p000,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.19749999999999998,0.0,False,,True,True,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,,,,geometry/replay/trials/0042_cuboid_hammer_v014_llm_lie_x-0p350_y+0p000.json
0043_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.0,0.0,False,,True,True,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3885418357208765e-17,,,,geometry/replay/trials/0043_cuboid_hammer_v014_llm_lie_x+0p000_y+0p000.json
0044_cuboid_hammer_v014_llm_lie_x+0p350_y+0p000,cuboid_hammer_v014,hammer,swing_down,llm_lie,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.19749999999999998,0.0,False,,True,True,10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8609792490763984e-17,,,,geometry/replay/trials/0044_cuboid_hammer_v014_llm_lie_x+0p350_y+0p000.json
